,Tahun,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Lahan,luas bangunan
0,2014,200,2,2,1,60,30
1,2023,300,8,2,1,60,30
2,2022,299,0,2,1,60,30
3,2019,300,10,1,1,52,95
4,2020,245,6,2,1,75,36
5,2017,235,11,2,1,73,30
6,2021,320,1,2,1,94,36
7,2016,237,13,2,1,60,28
8,2018,350,3,2,1,104,50
9,2020,470,7,3,3,147,70
10,2018,275,15,2,1,70,36
11,2019,305,27,2,1,66,45
12,2020,310,23,2,1,72,45
13,2018,310,21,2,1,72,45
14,2017,315,12,2,1,45,75
15,2019,312,5,2,1,45,72
16,2019,375,26,2,1,82,46
17,2018,270,9,2,1,61,30
18,2022,250,4,2,1,76,36
19,2023,297,32,2,1,75,45
20,2022,350,40,2,1,105,70
21,2020,300,42,2,1,74,42
22,2017,299,33,2,1,74,74
23,2021,280,22,2,1,88,36
24,2016,250,38,2,1,88,36
25,2018,375,23,2,1,72,72
26,2020,495,36,3,1,141,60
27,2018,475,16,2,1,90,50
28,2019,250,40,2,1,88,36
29,2020,278,4,2,1,72,36
30,2018,495,36,2,1,107,36
31,2017,495,20,2,1,107,36
32,2019,278,14,2,1,72,36
33,2019,278,18,2,1,71,36
34,2018,235,25,2,1,73,30
35,2022,302,13,3,2,121,60
36,2017,480,24,3,1,98,50
37,2019,325,15,2,1,70,36
38,2019,337,9,2,1,74,36
39,2018,331,38,2,1,72,36
40,2022,350,2,2,1,115,36
41,2023,270,23,2,1,61,30
42,2022,357,1,2,1,99,36
43,2020,205,17,1,1,60,23
44,2017,495,36,3,1,141,60
45,2021,475,19,3,2,101,70
46,2016,299,23,2,1,88,36
47,2018,250,14,2,1,88,36
48,2020,350,18,2,1,80,45
49,2018,250,25,2,1,97,36
50,2019,270,13,1,1,71,36
51,2010,240,24,2,1,45,62
52,2023,270,15,1,1,71,36
53,2022,295,9,2,1,125,36
54,2019,475,38,2,1,75,55
55,2020,465,2,2,1,132,53
56,2017,350,23,2,2,67,67
57,2021,350,1,2,2,67,67
58,2016,350,17,3,2,54,80
59,2018,685,36,3,2,120,77
60,2020,235,19,2,1,70,30
61,2018,270,23,2,1,61,30
62,2019,475,2,3,1,93,60
63,2020,350,8,2,1,104,50
64,2018,235,0,2,1,73,30
65,2017,475,10,3,1,85,47
66,2019,375,6,2,1,72,72
67,2019,278,11,2,1,71,36
68,2018,255,1,2,1,73,36
69,2022,235,13,2,1,73,30
70,2023,350,3,2,1,75,40
71,2019,357,7,2,1,99,36
72,2020,680,15,2,1,68,48
73,2017,475,27,2,1,104,60
74,2021,299,23,2,1,88,36
75,2016,299,21,2,1,88,36
76,2018,299,12,2,1,88,36
77,2020,300,5,2,1,66,36
78,2018,250,26,2,1,88,36
79,2019,375,9,2,1,72,72
80,2020,375,4,2,1,72,72
81,2018,235,32,2,1,73,30
82,2017,685,2,3,2,120,75
83,2019,270,8,1,1,71,36
84,2019,227,0,2,1,60,28
85,2018,275,10,2,1,70,36
86,2022,270,6,1,1,71,36
87,2023,270,11,2,1,71,36
88,2022,278,1,2,1,71,36
89,2020,270,13,1,1,71,36
90,2017,270,3,1,1,71,36
91,2021,375,7,2,1,72,72
92,2016,299,15,2,1,88,36
93,2018,689,27,3,2,120,77
94,2020,335,23,2,1,60,36
95,2018,260,21,2,1,88,40
96,2019,275,12,2,1,61,30
97,2020,278,5,2,1,71,36
98,2018,278,26,2,1,71,36
99,2017,495,9,2,1,72,72
100,2019,495,4,3,1,50,168
101,2019,200,32,2,1,60,30
102,2018,265,40,2,1,60,36
103,2022,227,42,2,1,60,28
104,2017,325,33,2,1,74,50
105,2019,475,22,2,1,78,36
106,2019,685,38,3,2,100,70
107,2018,270,23,2,1,61,30
108,2022,260,36,2,1,71,36
109,2023,255,16,1,2,62,40
110,2022,280,40,2,1,100,100
111,2020,350,4,2,1,103,50
112,2017,480,36,3,1,98,50
113,2021,495,20,3,1,168,50
114,2016,270,14,2,1,61,30
115,2018,260,18,2,1,71,36
116,2020,260,25,2,1,71,36
117,2018,260,13,2,1,71,36
118,2019,350,24,1,1,71,36
119,2010,350,15,2,1,104,50
120,2023,270,9,1,1,71,36
121,2022,270,38,2,1,61,30
122,2019,350,2,2,1,81,45
123,2020,325,23,2,1,74,50
124,2017,250,1,2,1,88,36
125,2021,299,17,2,1,88,36
126,2016,200,36,2,1,88,36
127,2018,370,19,2,1,94,36
128,2020,255,23,2,1,71,36
129,2018,299,14,2,1,88,36
130,2019,200,18,2,1,88,36
131,2020,299,25,2,1,66,36
132,2018,689,13,3,2,120,75
133,2017,685,24,3,2,98,75
134,2019,475,15,2,1,90,50
135,2019,275,9,2,1,71,36
136,2018,275,38,2,1,71,36
137,2022,270,2,2,1,61,30
138,2023,680,23,3,1,97,65
139,2021,495,1,2,1,45,85
140,2016,475,17,2,1,80,45
141,2018,260,36,2,1,72,36
142,2020,255,19,2,1,71,36
143,2018,260,23,2,1,72,36
144,2019,255,2,1,2,62,40
145,2010,357,8,2,1,132,36
146,2023,470,0,2,1,120,40
147,2022,270,10,2,1,61,30
148,2019,280,6,2,1,80,32
